survey_code,survey_period,mps,go_live,ref_period_start,ref_period_end,return_by,reminder,reminder2,reminder3,employment,exercise_end
009,1804,160418,250418,010418,300418,070518,090518,,,,300620
009,1805,140518,240518,010518,310518,070618,120618,,,,310720
009,1806,190618,250618,010618,300618,070718,100718,,,150618,310820
009,1807,200718,250718,010718,310718,070818,090818,,,,300920
009,1808,170818,240818,010818,310818,070918,110918,,,,311020
009,1809,190918,240918,010918,300918,071018,091018,,,140918,301120
009,1810,191018,251018,011018,311018,071118,131118,,,,311220
009,1811,211118,261118,011118,301118,071218,111218,,,,310121
009,1812,121218,131218,011218,311218,070119,080119,,,141218,280221
009,1904,160419,250419,010419,300419,070519,090519,,,,300621
009,1905,140519,240519,010519,310519,070619,120619,,,,310721
009,1906,190619,250619,010619,300619,070719,100719,,,150619,310821
009,1907,200719,250719,010719,310719,070819,090819,,,,300921
009,1908,170819,240819,010819,310819,070919,110919,,,,311021
009,1909,190919,240919,010919,300919,071019,091019,,,140919,301121
009,1910,191019,251019,011019,311019,071119,131119,,,,311221
009,1911,211119,261119,011119,301119,071219,111219,,,,310122
009,1912,121219,131219,011219,311219,070120,080120,,,141219,280222
023,201801,190118,240118,010118,280118,050218,080218,,,,280220
023,201802,190218,240218,010218,280218,050318,080318,,,,310320
023,201803,190318,240318,010318,280318,050418,080418,,,,300420
023,201804,190418,240418,010418,280418,050518,080518,,,,310520
023,201805,170518,220518,290418,260518,020618,040618,,,,300620
023,201806,210618,260618,270518,300618,070718,090718,,,150618,310720
023,201807,190718,240718,010718,280718,040818,060818,,,,310820
023,201808,160818,210818,290718,250818,010918,030918,,,,300920
023,201809,200918,250918,260818,290918,061018,081018,,,140918,311020
023,201810,181018,231018,300918,271018,031118,051118,,,,301120
023,201811,151118,201118,281018,241118,011218,031218,,,,311220
023,201812,071218,141218,251118,291218,050119,070119,,,141218,310121
023,201901,190119,240119,010119,280119,050219,080219,,,,280221
023,201902,170219,220219,010219,260219,020319,040319,,,,300321
023,201903,210319,260319,010319,300319,070419,090419,,,150319,300421
023,201904,190419,240419,010419,280419,050519,080519,,,,310521
023,201905,170519,220519,290419,260519,020619,040619,,,,300621
023,201906,210619,260619,270519,300619,070719,090719,,,150619,310721
023,201907,190719,240719,010719,280719,040819,060819,,,,310821
023,201908,160819,210819,290719,250819,010919,030919,,,,300921
023,201909,200919,250919,260819,290919,061019,081019,,,140919,311021
023,201910,181019,231019,300919,271019,031119,051119,,,,301121
023,201911,151119,201119,281019,241119,011219,031219,,,,311221
023,201912,071219,141219,251119,291219,050120,070120,,,141219,310122
062,201712,130418,190418,010117,311217,010618,070618,050718,,,300620
063,201712,130418,190418,010117,311217,010618,070618,050718,,,300620
064,201803,190318,260318,010118,310318,170418,190418,090518,,,310520
